Form,Payment_Sum,Payment_Count,Payment_Mean,Year
Cash or cash equivalent,830628963.3,870612,954.07,2013
"Dividend, profit or other return on investment",8896204.26,135,65897.81,2013
In-kind items and services,166455896.6,3301312,50.42,2013
"Stock, stock option, or any other ownership interest",10589280.05,146,72529.32,2013
NA,0,0,0,2013
Cash or cash equivalent,2185731541,2058127,1062,2014
"Dividend, profit or other return on investment",43287833.75,387,111854.87,2014
In-kind items and services,420777983.2,9259565,45.44,2014
"Stock, stock option, or any other ownership interest",50503086.56,356,141862.6,2014
NA,0,0,0,2014
Cash or cash equivalent,2285097941,1992621,1146.78,2015
"Dividend, profit or other return on investment",17487531.19,406,43072.74,2015
In-kind items and services,422715673.2,9568609,44.18,2015
"Stock, stock option, or any other ownership interest",14170544.95,260,54502.1,2015
NA,0,0,0,2015
Any other ownership interest,1256306.77,107,11741.18,2016
Cash or cash equivalent,2411029274,1936046,1245.34,2016
"Dividend, profit or other return on investment",20105530.19,320,62829.78,2016
In-kind items and services,450654018.6,9760477,46.17,2016
"Stock, stock option, or any other ownership interest",23616729.76,216,109998.19,2016
NA,0,0,0,2016
Any other ownership interest,1400026.57,119,11764.93,2017
Cash or cash equivalent,2467440368,1780180,1386.06,2017
"Dividend, profit or other return on investment",7502051.18,487,15404.62,2017
In-kind items and services,445467382.1,9614387,46.33,2017
"Stock, stock option, or any other ownership interest",17580035.06,234,91413.75,2017
NA,0,0,0,2017
Any other ownership interest,2619530.67,14,187109.33,2018
Cash or cash equivalent,2484599865,1612419,1540.91,2018
"Dividend, profit or other return on investment",26550547.88,281,94485.94,2018
In-kind items and services,518588088,9284876,55.85,2018
"Stock, stock option, or any other ownership interest",27398405.85,258,105220.57,2018
NA,0,0,0,2018
Any other ownership interest,6062330.31,31,195559.04,2019
Cash or cash equivalent,3078899388,1595383,1929.88,2019
"Dividend, profit or other return on investment",18099450.14,434,41703.8,2019
In-kind items and services,445985031,8771141,50.85,2019
"Stock, stock option, or any other ownership interest",14550667.9,318,64974.29,2019
NA,0,0,0,2019
