Physician_Spec,Payment_Sum,Payment_Count,Payment_Mean,Year
Agencies|Case Management,360.61,5,72.12,2013
Agencies|Community/Behavioral Health,971.28,30,32.38,2013
Agencies|Nursing Care,157.94,2,78.97,2013
Agencies|Public Health or Welfare,12141.2,34,357.09,2013
Allopathic & Osteopathic Physicians|Allergy & Immunology,3065638.44,19391,158.1,2013
Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,1053756.13,5924,177.88,2013
Allopathic & Osteopathic Physicians|Allergy & Immunology|Clinical & Laboratory Immunology,85363.78,451,189.28,2013
Allopathic & Osteopathic Physicians|Anesthesiology,5871987.16,37284,157.49,2013
Allopathic & Osteopathic Physicians|Anesthesiology|Addiction Medicine,6583.03,55,119.69,2013
Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,423888.03,574,738.48,2013
Allopathic & Osteopathic Physicians|Anesthesiology|Hospice and Palliative Medicine,308.07,12,25.67,2013
Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,3465725.97,24458,141.7,2013
Allopathic & Osteopathic Physicians|Anesthesiology|Pediatric Anesthesiology,41752.89,256,163.1,2013
Allopathic & Osteopathic Physicians|Clinical Pharmacology,287750.51,116,2480.61,2013
Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,2216757.79,7738,286.48,2013
Allopathic & Osteopathic Physicians|Dermatology,10284846.33,75490,136.24,2013
Allopathic & Osteopathic Physicians|Dermatology|Clinical & Laboratory Dermatological Immunology,45315.07,411,110.26,2013
Allopathic & Osteopathic Physicians|Dermatology|Dermatopathology,163662.54,1743,93.9,2013
Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery,681189.07,3796,179.45,2013
Allopathic & Osteopathic Physicians|Dermatology|Pediatric Dermatology,227482.86,897,253.6,2013
Allopathic & Osteopathic Physicians|Dermatology|Procedural Dermatology,651928.08,5231,124.63,2013
Allopathic & Osteopathic Physicians|Electrodiagnostic Medicine,4178.53,61,68.5,2013
Allopathic & Osteopathic Physicians|Emergency Medicine,3978906.49,19676,202.22,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,137463.57,1084,126.81,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Hospice and Palliative Medicine,1602.2,30,53.41,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Medical Toxicology,13780.48,33,417.59,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Pediatric Emergency Medicine,4837.32,79,61.23,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Sports Medicine,21392.19,116,184.42,2013
Allopathic & Osteopathic Physicians|Emergency Medicine|Undersea and Hyperbaric Medicine,49802.7,314,158.61,2013
Allopathic & Osteopathic Physicians|Family Medicine,19509794.11,667207,29.24,2013
Allopathic & Osteopathic Physicians|Family Medicine|Addiction Medicine,41385.29,536,77.21,2013
Allopathic & Osteopathic Physicians|Family Medicine|Adolescent Medicine,40099.76,466,86.05,2013
Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,237134.33,4475,52.99,2013
Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,454052.52,4658,97.48,2013
Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,23430.7,251,93.35,2013
Allopathic & Osteopathic Physicians|Family Medicine|Obesity Medicine,5377.43,29,185.43,2013
Allopathic & Osteopathic Physicians|Family Medicine|Sleep Medicine,8314.76,101,82.32,2013
Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,286670.09,3616,79.28,2013
Allopathic & Osteopathic Physicians|General Practice,6104279.99,36141,168.9,2013
Allopathic & Osteopathic Physicians|Hospitalist,467451.91,6715,69.61,2013
Allopathic & Osteopathic Physicians|Independent Medical Examiner,1755.13,50,35.1,2013
Allopathic & Osteopathic Physicians|Internal Medicine,49374739.74,667596,73.96,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,130188.22,749,173.82,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,93984.81,1784,52.68,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,804736.64,4677,172.06,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,38923842.32,248815,156.44,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Clinical & Laboratory Immunology,4150.28,39,106.42,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,7453781.01,30313,245.89,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,1690866.84,9639,175.42,2013
"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",28957545.33,106171,272.74,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,21414591.46,131441,162.92,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,1061870.99,11991,88.56,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,2996341.56,6921,432.93,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,14804979.67,92347,160.32,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Hepatology,967239.12,2090,462.79,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Hospice and Palliative Medicine,108479.86,419,258.9,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Hypertension Specialist,192322.38,176,1092.74,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,8513053.72,29938,284.36,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,7538000.45,40828,184.63,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Magnetic Resonance Imaging (MRI),24234.35,64,378.66,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,8281664.36,26802,308.99,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,7668667.74,34441,222.66,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Obesity Medicine,4797.7,37,129.67,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,13960668.17,86648,161.12,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,12162656.7,82483,147.46,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,2359604.19,2140,1102.62,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,68879.79,319,215.92,2013
Allopathic & Osteopathic Physicians|Internal Medicine|Transplant Hepatology,23744.83,169,140.5,2013
Allopathic & Osteopathic Physicians|Legal Medicine,1851.96,42,44.09,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Biochemical Genetics,60626.4,106,571.95,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Cytogenetic,20711.3,23,900.49,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.),441244.74,459,961.32,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Molecular Genetics,166.49,3,55.5,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Molecular Genetic Pathology,5748.04,11,522.55,2013
Allopathic & Osteopathic Physicians|Medical Genetics|Ph.D. Medical Genetics,576.79,4,144.2,2013
Allopathic & Osteopathic Physicians|Neurological Surgery,30766494.04,41507,741.24,2013
Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,309567.66,2266,136.61,2013
"Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine, Sports Medicine",545377.0,1194,456.76,2013
Allopathic & Osteopathic Physicians|Nuclear Medicine,450444.79,976,461.52,2013
Allopathic & Osteopathic Physicians|Nuclear Medicine|In Vivo & In Vitro Nuclear Medicine,130.72,3,43.57,2013
Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Cardiology,464388.0,966,480.73,2013
