,State,Payment_Sum,Payment_Count,Payment_Mean,Year,Pop,Name,Sum_pc,Count_pc,Mean_pc,state,id
2,AK,801200.92,10281,77.93,2015,737498,Alaska,10863.77,139.4,1.06,Alaska,2
9,AL,23104466.11,221444,104.34,2015,4852347,Alabama,47615.03,456.36,0.22,Alabama,1
16,AR,18459703.1,107770,171.29,2015,2978048,Arkansas,61985.92,361.88,0.58,Arkansas,5
23,AZ,55597636.8,239703,231.94,2015,6829676,Arizona,81405.97,350.97,0.34,Arizona,4
30,CA,624825330.83,1183100,528.13,2015,38918045,California,160549.0,304.0,0.14,California,6
37,CO,52805306.25,135949,388.42,2015,5450623,Colorado,96879.4,249.42,0.71,Colorado,8
44,CT,34752257.54,192987,180.08,2015,3587122,Connecticut,96880.61,538.0,0.5,Connecticut,9
51,DC,17237342.42,40508,425.53,2015,675400,District of Columbia,255216.8,599.76,6.3,District of Columbia,11
58,DE,3862976.94,41589,92.88,2015,941252,Delaware,41040.84,441.85,0.99,Delaware,10
65,FL,140432307.73,874511,160.58,2015,20209042,Florida,69489.84,432.73,0.08,Florida,12
72,GA,62611688.26,361660,173.12,2015,10178447,Georgia,61513.99,355.32,0.17,Georgia,13
79,HI,4787773.6,48131,99.47,2015,1422052,Hawaii,33668.06,338.46,0.7,Hawaii,15
86,IA,13071788.82,68151,191.81,2015,3120960,Iowa,41883.87,218.37,0.61,Iowa,19
93,ID,5358968.21,37259,143.83,2015,1651059,Idaho,32457.76,225.67,0.87,Idaho,16
100,IL,88321107.2,466696,189.25,2015,12858913,Illinois,68684.74,362.94,0.15,Illinois,17
107,IN,31783235.83,282560,112.48,2015,6608422,Indiana,48095.05,427.58,0.17,Indiana,18
114,KS,11846400.04,106035,111.72,2015,2909011,Kansas,40723.12,364.51,0.38,Kansas,20
121,KY,27325523.04,198663,137.55,2015,4425976,Kentucky,61738.98,448.86,0.31,Kentucky,21
128,LA,20963104.76,214616,97.68,2015,4664628,Louisiana,44940.57,460.09,0.21,Louisiana,22
135,MA,128444250.68,178053,721.38,2015,6794228,Massachusetts,189049.07,262.07,1.06,Massachusetts,25
142,MD,45803117.02,238500,192.05,2015,5985562,Maryland,76522.67,398.46,0.32,Maryland,24
149,ME,6087727.93,23608,257.87,2015,1328262,Maine,45832.28,177.74,1.94,Maine,23
156,MI,67494499.29,390796,172.71,2015,9931715,Michigan,67958.55,393.48,0.17,Michigan,26
163,MN,44484290.22,46644,953.7,2015,5482032,Minnesota,81145.62,85.09,1.74,Minnesota,27
170,MO,82734369.36,258375,320.21,2015,6071732,Missouri,136261.56,425.54,0.53,Missouri,29
177,MS,10109445.88,118130,85.58,2015,2988471,Mississippi,33828.15,395.29,0.29,Mississippi,28
184,MT,2272263.56,16225,140.05,2015,1030475,Montana,22050.64,157.45,1.36,Montana,30
191,NC,75199556.99,367920,204.39,2015,10031646,North Carolina,74962.33,366.76,0.2,North Carolina,37
198,ND,1870076.69,16068,116.39,2015,754066,North Dakota,24799.91,213.08,1.54,North Dakota,38
205,NE,7291999.38,65008,112.17,2015,1891277,Nebraska,38555.96,343.73,0.59,Nebraska,31
212,NH,5771093.51,23275,247.95,2015,1336350,New Hampshire,43185.49,174.17,1.86,New Hampshire,33
219,NJ,61825734.4,467107,132.36,2015,8867949,New Jersey,69718.19,526.74,0.15,New Jersey,34
226,NM,4389105.53,35096,125.06,2015,2089291,New Mexico,21007.63,167.98,0.6,New Mexico,35
233,NV,18465625.06,92466,199.7,2015,2866939,Nevada,64408.85,322.53,0.7,Nevada,32
240,NY,231227128.53,825905,279.97,2015,19654666,New York,117644.9,420.21,0.14,New York,36
247,OH,96294898.67,507616,189.7,2015,11617527,Ohio,82887.6,436.94,0.16,Ohio,39
254,OK,14195398.47,146127,97.14,2015,3909500,Oklahoma,36310.01,373.77,0.25,Oklahoma,40
261,OR,18137805.08,67926,267.02,2015,4015792,Oregon,45166.2,169.15,0.66,Oregon,41
268,PA,121294640.2,592133,204.84,2015,12784826,Pennsylvania,94873.91,463.15,0.16,Pennsylvania,42
275,RI,7371763.78,45607,161.64,2015,1056065,Rhode Island,69804.07,431.86,1.53,Rhode Island,44
282,SC,23202328.43,202176,114.76,2015,4891938,South Carolina,47429.73,413.28,0.23,South Carolina,45
289,SD,4478303.31,17385,257.6,2015,853988,South Dakota,52439.89,203.57,3.02,South Dakota,46
296,TN,62795380.81,285896,219.64,2015,6591170,Tennessee,95271.98,433.76,0.33,Tennessee,47
303,TX,188978870.17,969047,195.02,2015,27470056,Texas,68794.5,352.76,0.07,Texas,48
310,UT,28007729.49,72449,386.59,2015,2981835,Utah,93927.83,242.97,1.3,Utah,49
317,VA,44228512.62,279406,158.29,2015,8361808,Virginia,52893.48,334.15,0.19,Virginia,51
324,VT,2037465.97,2305,883.93,2015,625216,Vermont,32588.19,36.87,14.14,Vermont,50
331,WA,56141418.12,139654,402.0,2015,7163657,Washington,78369.77,194.95,0.56,Washington,53
338,WI,24366614.07,88336,275.84,2015,5760940,Wisconsin,42296.25,153.34,0.48,Wisconsin,55
345,WV,6440774.71,81241,79.28,2015,1842050,West Virginia,34965.25,441.04,0.43,West Virginia,54
352,WY,1455101.16,6976,208.59,2015,585613,Wyoming,24847.49,119.12,3.56,Wyoming,56
