State,Payment_Sum,Payment_Count,Payment_Mean,Year
AA,876.5,15,58.43,2013
AE,2979.58,78,38.2,2013
AK,267010.65,3750,71.2,2013
AL,8148469.09,77158,105.61,2013
AP,2265.32,65,34.85,2013
AR,3400645.19,37729,90.13,2013
AS,131.76,2,65.88,2013
AZ,18250254.9,85220,214.15,2013
CA,242571068.85,425787,569.7,2013
CO,22511983.01,48679,462.46,2013
CT,11156573.17,70401,158.47,2013
DC,6727736.0,15768,426.67,2013
DE,2063595.18,14308,144.23,2013
FL,54316036.01,306135,177.43,2013
FM,10.09,1,10.09,2013
GA,20413198.87,127831,159.69,2013
GU,939.6,35,26.85,2013
HI,1452186.98,16472,88.16,2013
IA,5250125.36,23455,223.84,2013
ID,1766800.88,12487,141.49,2013
IL,30378075.37,171781,176.84,2013
IN,15115753.73,94962,159.18,2013
KS,4404498.01,35395,124.44,2013
KY,9082450.87,69148,131.35,2013
LA,9093254.16,75778,120.0,2013
MA,50464810.19,69654,724.51,2013
MD,17649901.88,89708,196.75,2013
ME,1582833.02,9237,171.36,2013
MI,23768556.69,141700,167.74,2013
MN,11806102.83,18341,643.7,2013
MO,23742007.96,92312,257.19,2013
MS,3977982.05,40225,98.89,2013
MT,974511.76,5770,168.89,2013
NC,28306808.6,132738,213.25,2013
ND,534208.39,5303,100.74,2013
NE,4365685.68,22038,198.1,2013
NH,2165535.08,9750,222.11,2013
NJ,20572337.62,163557,125.78,2013
NM,1650176.17,13483,122.39,2013
NU,27.51,2,13.76,2013
NV,6521134.63,32685,199.51,2013
NY,87163565.16,321902,270.78,2013
OH,42088729.28,181913,231.37,2013
OK,6781965.86,51600,131.43,2013
OR,9914597.0,24763,400.38,2013
PA,42913739.86,214142,200.4,2013
PR,3451166.08,27672,124.72,2013
PW,1150.0,13,88.46,2013
RI,2676372.57,18867,141.85,2013
SC,7875858.84,68672,114.69,2013
SD,1227846.46,6310,194.59,2013
TN,21011332.89,100886,208.27,2013
TX,73295465.68,345956,211.86,2013
UT,10513099.45,28633,367.17,2013
VA,15705403.71,99448,157.93,2013
VI,2271.06,46,49.37,2013
VT,1198992.68,963,1245.06,2013
WA,15930994.34,53555,297.47,2013
WI,6981599.95,35218,198.24,2013
WV,3001690.46,29975,100.14,2013
WY,292163.55,2417,120.88,2013
NA,82800.15,311,266.24,2013
0R,29.51,1,29.51,2014
AA,2030.03,17,119.41,2014
AE,7661.5,158,48.49,2014
AK,787942.71,9544,82.56,2014
AL,20842724.6,212423,98.12,2014
AP,5751.94,122,47.15,2014
AR,8272958.65,106445,77.72,2014
AS,100.19,1,100.19,2014
AZ,82417345.28,232045,355.18,2014
CA,603829045.85,1153710,523.38,2014
CO,61931917.13,131022,472.68,2014
CT,28995627.3,193021,150.22,2014
DC,15917345.49,41081,387.46,2014
DE,3774147.16,39390,95.81,2014
FL,140984542.06,835966,168.65,2014
FM,56214.28,52,1081.04,2014
GA,81817932.3,341728,239.42,2014
GU,13540.45,97,139.59,2014
HI,4459751.61,44843,99.45,2014
IA,13469944.77,65124,206.84,2014
ID,5535496.1,36593,151.27,2014
IL,83147459.37,461134,180.31,2014
IN,37356702.83,275683,135.51,2014
KS,10877117.58,101265,107.41,2014
KY,23384007.74,197296,118.52,2014
LA,19644939.93,209138,93.93,2014
MA,134268243.5,180858,742.4,2014
MD,46155316.69,234598,196.74,2014
ME,4718975.66,25364,186.05,2014
MI,58282970.32,380551,153.15,2014
MN,36751965.47,45982,799.27,2014
MO,59031254.11,250829,235.34,2014
MP,376.14,10,37.61,2014
MS,11004918.96,115476,95.3,2014
MT,5571809.3,15943,349.48,2014
NC,69974618.28,356535,196.26,2014
ND,1791492.1,16160,110.86,2014
NE,8868412.44,63552,139.55,2014
NH,6263446.95,23987,261.12,2014
NJ,56038679.6,458582,122.2,2014
NM,4401868.75,37587,117.11,2014
NV,18365892.88,90898,202.05,2014
NY,222597436.97,829291,268.42,2014
OH,90783370.06,496334,182.91,2014
