,State,Payment_Sum,Payment_Count,Payment_Mean,Year,id
2,AK,267010.65,3750,71.2,2013,1.0
3,AL,8148469.09,77158,105.61,2013,2.0
5,AR,3400645.19,37729,90.13,2013,3.0
6,AS,131.76,2,65.88,2013,4.0
7,AZ,18250254.9,85220,214.15,2013,5.0
8,CA,242571068.85,425787,569.7,2013,6.0
9,CO,22511983.01,48679,462.46,2013,7.0
10,CT,11156573.17,70401,158.47,2013,9.0
11,DC,6727736.0,15768,426.67,2013,10.0
12,DE,2063595.18,14308,144.23,2013,11.0
13,FL,54316036.01,306135,177.43,2013,12.0
15,GA,20413198.87,127831,159.69,2013,13.0
16,GU,939.6,35,26.85,2013,14.0
17,HI,1452186.98,16472,88.16,2013,15.0
18,IA,5250125.36,23455,223.84,2013,16.0
19,ID,1766800.88,12487,141.49,2013,17.0
20,IL,30378075.37,171781,176.84,2013,18.0
21,IN,15115753.73,94962,159.18,2013,19.0
22,KS,4404498.01,35395,124.44,2013,20.0
23,KY,9082450.87,69148,131.35,2013,21.0
24,LA,9093254.16,75778,120.0,2013,22.0
25,MA,50464810.19,69654,724.51,2013,23.0
26,MD,17649901.88,89708,196.75,2013,24.0
27,ME,1582833.02,9237,171.36,2013,25.0
28,MI,23768556.69,141700,167.74,2013,26.0
29,MN,11806102.83,18341,643.7,2013,27.0
30,MO,23742007.96,92312,257.19,2013,28.0
31,MS,3977982.05,40225,98.89,2013,29.0
32,MT,974511.76,5770,168.89,2013,30.0
33,NC,28306808.6,132738,213.25,2013,31.0
34,ND,534208.39,5303,100.74,2013,32.0
35,NE,4365685.68,22038,198.1,2013,33.0
36,NH,2165535.08,9750,222.11,2013,34.0
37,NJ,20572337.62,163557,125.78,2013,35.0
38,NM,1650176.17,13483,122.39,2013,36.0
40,NV,6521134.63,32685,199.51,2013,37.0
41,NY,87163565.16,321902,270.78,2013,38.0
42,OH,42088729.28,181913,231.37,2013,39.0
43,OK,6781965.86,51600,131.43,2013,40.0
44,OR,9914597.0,24763,400.38,2013,41.0
45,PA,42913739.86,214142,200.4,2013,42.0
46,PR,3451166.08,27672,124.72,2013,43.0
48,RI,2676372.57,18867,141.85,2013,44.0
49,SC,7875858.84,68672,114.69,2013,45.0
50,SD,1227846.46,6310,194.59,2013,46.0
51,TN,21011332.89,100886,208.27,2013,47.0
52,TX,73295465.68,345956,211.86,2013,48.0
53,UT,10513099.45,28633,367.17,2013,49.0
54,VA,15705403.71,99448,157.93,2013,50.0
55,VI,2271.06,46,49.37,2013,51.0
56,VT,1198992.68,963,1245.06,2013,52.0
57,WA,15930994.34,53555,297.47,2013,53.0
58,WI,6981599.95,35218,198.24,2013,54.0
59,WV,3001690.46,29975,100.14,2013,55.0
60,WY,292163.55,2417,120.88,2013,56.0
65,AK,787942.71,9544,82.56,2014,1.0
66,AL,20842724.6,212423,98.12,2014,2.0
68,AR,8272958.65,106445,77.72,2014,3.0
69,AS,100.19,1,100.19,2014,4.0
70,AZ,82417345.28,232045,355.18,2014,5.0
71,CA,603829045.85,1153710,523.38,2014,6.0
72,CO,61931917.13,131022,472.68,2014,7.0
73,CT,28995627.3,193021,150.22,2014,9.0
74,DC,15917345.49,41081,387.46,2014,10.0
75,DE,3774147.16,39390,95.81,2014,11.0
76,FL,140984542.06,835966,168.65,2014,12.0
78,GA,81817932.3,341728,239.42,2014,13.0
79,GU,13540.45,97,139.59,2014,14.0
80,HI,4459751.61,44843,99.45,2014,15.0
81,IA,13469944.77,65124,206.84,2014,16.0
82,ID,5535496.1,36593,151.27,2014,17.0
83,IL,83147459.37,461134,180.31,2014,18.0
84,IN,37356702.83,275683,135.51,2014,19.0
85,KS,10877117.58,101265,107.41,2014,20.0
86,KY,23384007.74,197296,118.52,2014,21.0
87,LA,19644939.93,209138,93.93,2014,22.0
88,MA,134268243.5,180858,742.4,2014,23.0
89,MD,46155316.69,234598,196.74,2014,24.0
90,ME,4718975.66,25364,186.05,2014,25.0
91,MI,58282970.32,380551,153.15,2014,26.0
92,MN,36751965.47,45982,799.27,2014,27.0
93,MO,59031254.11,250829,235.34,2014,28.0
95,MS,11004918.96,115476,95.3,2014,29.0
96,MT,5571809.3,15943,349.48,2014,30.0
97,NC,69974618.28,356535,196.26,2014,31.0
98,ND,1791492.1,16160,110.86,2014,32.0
99,NE,8868412.44,63552,139.55,2014,33.0
100,NH,6263446.95,23987,261.12,2014,34.0
101,NJ,56038679.6,458582,122.2,2014,35.0
102,NM,4401868.75,37587,117.11,2014,36.0
103,NV,18365892.88,90898,202.05,2014,37.0
104,NY,222597436.97,829291,268.42,2014,38.0
105,OH,90783370.06,496334,182.91,2014,39.0
106,OK,18567744.2,141066,131.62,2014,40.0
107,OR,17061445.0,68258,249.96,2014,41.0
108,PA,109259893.43,587654,185.93,2014,42.0
109,PR,7707740.25,64697,119.14,2014,43.0
111,RI,6978857.76,46260,150.86,2014,44.0
112,SC,20356426.98,194080,104.89,2014,45.0
113,SD,3273237.15,17687,185.06,2014,46.0
114,TN,90740836.39,279669,324.46,2014,47.0
115,TX,183996346.01,938641,196.02,2014,48.0
116,UT,25753559.23,75845,339.56,2014,49.0
117,VA,42837588.21,270427,158.41,2014,50.0
118,VI,32849.14,523,62.81,2014,51.0
119,VT,1769080.38,2201,803.76,2014,52.0
120,WA,60978933.84,141111,432.13,2014,53.0
121,WI,20784499.76,90918,228.61,2014,54.0
122,WV,6276871.66,81815,76.72,2014,55.0
123,WY,1455658.57,6825,213.28,2014,56.0
127,AK,801200.92,10281,77.93,2015,1.0
128,AL,23104466.11,221444,104.34,2015,2.0
130,AR,18459703.1,107770,171.29,2015,3.0
131,AZ,55597636.8,239703,231.94,2015,5.0
132,CA,624825330.83,1183100,528.13,2015,6.0
133,CO,52805306.25,135949,388.42,2015,7.0
134,CT,34752257.54,192987,180.08,2015,9.0
135,DC,17237342.42,40508,425.53,2015,10.0
136,DE,3862976.94,41589,92.88,2015,11.0
137,FL,140432307.73,874511,160.58,2015,12.0
139,GA,62611688.26,361660,173.12,2015,13.0
140,GU,2070.9,63,32.87,2015,14.0
141,HI,4787773.6,48131,99.47,2015,15.0
142,IA,13071788.82,68151,191.81,2015,16.0
143,ID,5358968.21,37259,143.83,2015,17.0
144,IL,88321107.2,466696,189.25,2015,18.0
145,IN,31783235.83,282560,112.48,2015,19.0
146,KS,11846400.04,106035,111.72,2015,20.0
147,KY,27325523.04,198663,137.55,2015,21.0
148,LA,20963104.76,214616,97.68,2015,22.0
149,MA,128444250.68,178053,721.38,2015,23.0
150,MD,45803117.02,238500,192.05,2015,24.0
151,ME,6087727.93,23608,257.87,2015,25.0
153,MI,67494499.29,390796,172.71,2015,26.0
154,MN,44484290.22,46644,953.7,2015,27.0
155,MO,82734369.36,258375,320.21,2015,28.0
157,MS,10109445.88,118130,85.58,2015,29.0
158,MT,2272263.56,16225,140.05,2015,30.0
159,NC,75199556.99,367920,204.39,2015,31.0
160,ND,1870076.69,16068,116.39,2015,32.0
