,State,Payment_Sum,Payment_Count,Payment_Mean,Year,id
2,AK,267010.65,3750,71.2,2013,1
3,AL,8148469.09,77158,105.61,2013,2
5,AR,3400645.19,37729,90.13,2013,3
6,AS,131.76,2,65.88,2013,4
7,AZ,18250254.9,85220,214.15,2013,5
8,CA,242571068.85,425787,569.7,2013,6
9,CO,22511983.01,48679,462.46,2013,7
10,CT,11156573.17,70401,158.47,2013,9
11,DC,6727736.0,15768,426.67,2013,10
12,DE,2063595.18,14308,144.23,2013,11
13,FL,54316036.01,306135,177.43,2013,12
15,GA,20413198.87,127831,159.69,2013,13
16,GU,939.6,35,26.85,2013,14
17,HI,1452186.98,16472,88.16,2013,15
18,IA,5250125.36,23455,223.84,2013,16
19,ID,1766800.88,12487,141.49,2013,17
20,IL,30378075.37,171781,176.84,2013,18
21,IN,15115753.73,94962,159.18,2013,19
22,KS,4404498.01,35395,124.44,2013,20
23,KY,9082450.87,69148,131.35,2013,21
24,LA,9093254.16,75778,120.0,2013,22
25,MA,50464810.19,69654,724.51,2013,23
26,MD,17649901.88,89708,196.75,2013,24
27,ME,1582833.02,9237,171.36,2013,25
28,MI,23768556.69,141700,167.74,2013,26
29,MN,11806102.83,18341,643.7,2013,27
30,MO,23742007.96,92312,257.19,2013,28
31,MS,3977982.05,40225,98.89,2013,29
32,MT,974511.76,5770,168.89,2013,30
33,NC,28306808.6,132738,213.25,2013,31
34,ND,534208.39,5303,100.74,2013,32
35,NE,4365685.68,22038,198.1,2013,33
36,NH,2165535.08,9750,222.11,2013,34
37,NJ,20572337.62,163557,125.78,2013,35
38,NM,1650176.17,13483,122.39,2013,36
40,NV,6521134.63,32685,199.51,2013,37
41,NY,87163565.16,321902,270.78,2013,38
42,OH,42088729.28,181913,231.37,2013,39
43,OK,6781965.86,51600,131.43,2013,40
44,OR,9914597.0,24763,400.38,2013,41
45,PA,42913739.86,214142,200.4,2013,42
46,PR,3451166.08,27672,124.72,2013,43
48,RI,2676372.57,18867,141.85,2013,44
49,SC,7875858.84,68672,114.69,2013,45
50,SD,1227846.46,6310,194.59,2013,46
51,TN,21011332.89,100886,208.27,2013,47
52,TX,73295465.68,345956,211.86,2013,48
53,UT,10513099.45,28633,367.17,2013,49
54,VA,15705403.71,99448,157.93,2013,50
55,VI,2271.06,46,49.37,2013,51
56,VT,1198992.68,963,1245.06,2013,52
57,WA,15930994.34,53555,297.47,2013,53
58,WI,6981599.95,35218,198.24,2013,54
59,WV,3001690.46,29975,100.14,2013,55
60,WY,292163.55,2417,120.88,2013,56
