State,Payment_Sum,Payment_Count,Payment_Mean,Year,id,Pop,Name,Sum_pc,Count_pc,Mean_pc
AK,267010.65,3750,71.2,2013,1,737068,Alaska,3622.61,50.88,0.97
AL,8148469.09,77158,105.61,2013,2,4830081,Alabama,16870.25,159.74,0.22
AR,3400645.19,37729,90.13,2013,3,2959400,Arkansas,11491.0,127.49,0.3
AZ,18250254.9,85220,214.15,2013,5,6632764,Arizona,27515.31,128.48,0.32
CA,242571068.85,425787,569.7,2013,6,38260787,California,63399.39,111.29,0.15
CO,22511983.01,48679,462.46,2013,7,5269035,Colorado,42725.06,92.39,0.88
CT,11156573.17,70401,158.47,2013,9,3594841,Connecticut,31034.96,195.84,0.44
DC,6727736.0,15768,426.67,2013,10,650581,District of Columbia,103411.2,242.37,6.56
DE,2063595.18,14308,144.23,2013,11,923576,Delaware,22343.53,154.92,1.56
FL,54316036.01,306135,177.43,2013,12,19545621,Florida,27789.36,156.63,0.09
GA,20413198.87,127831,159.69,2013,13,9972479,Georgia,20469.53,128.18,0.16
HI,1452186.98,16472,88.16,2013,15,1408243,Hawaii,10312.05,116.97,0.63
IA,5250125.36,23455,223.84,2013,16,3092997,Iowa,16974.23,75.83,0.72
ID,1766800.88,12487,141.49,2013,17,1611206,Idaho,10965.7,77.5,0.88
IL,30378075.37,171781,176.84,2013,18,12895129,Illinois,23557.79,133.21,0.14
IN,15115753.73,94962,159.18,2013,19,6568713,Indiana,23011.74,144.57,0.24
KS,4404498.01,35395,124.44,2013,20,2893212,Kansas,15223.56,122.34,0.43
KY,9082450.87,69148,131.35,2013,21,4404659,Kentucky,20620.1,156.99,0.3
LA,9093254.16,75778,120.0,2013,22,4624527,Louisiana,19663.1,163.86,0.26
MA,50464810.19,69654,724.51,2013,23,6713315,Massachusetts,75171.22,103.76,1.08
MD,17649901.88,89708,196.75,2013,24,5923188,Maryland,29797.98,151.45,0.33
ME,1582833.02,9237,171.36,2013,25,1328009,Maine,11918.84,69.56,1.29
MI,23768556.69,141700,167.74,2013,26,9913065,Michigan,23977.0,142.94,0.17
MN,11806102.83,18341,643.7,2013,27,5413479,Minnesota,21808.72,33.88,1.19
MO,23742007.96,92312,257.19,2013,28,6040715,Missouri,39303.31,152.82,0.43
MS,3977982.05,40225,98.89,2013,29,2988711,Mississippi,13310.03,134.59,0.33
MT,974511.76,5770,168.89,2013,30,1013569,Montana,9614.66,56.93,1.67
NC,28306808.6,132738,213.25,2013,31,9843336,North Carolina,28757.33,134.85,0.22
ND,534208.39,5303,100.74,2013,32,722036,North Dakota,7398.64,73.45,1.4
NE,4365685.68,22038,198.1,2013,33,1865279,Nebraska,23405.0,118.15,1.06
NH,2165535.08,9750,222.11,2013,34,1326622,New Hampshire,16323.68,73.49,1.67
NJ,20572337.62,163557,125.78,2013,35,8856972,New Jersey,23227.28,184.66,0.14
NM,1650176.17,13483,122.39,2013,36,2092273,New Mexico,7887.0,64.44,0.58
NV,6521134.63,32685,199.51,2013,37,2775970,Nevada,23491.37,117.74,0.72
NY,87163565.16,321902,270.78,2013,38,19624447,New York,44415.81,164.03,0.14
OH,42088729.28,181913,231.37,2013,39,11576684,Ohio,36356.46,157.14,0.2
OK,6781965.86,51600,131.43,2013,40,3853214,Oklahoma,17600.8,133.91,0.34
OR,9914597.0,24763,400.38,2013,41,3922468,Oregon,25276.43,63.13,1.02
PA,42913739.86,214142,200.4,2013,42,12776309,Pennsylvania,33588.53,167.61,0.16
RI,2676372.57,18867,141.85,2013,44,1055081,Rhode Island,25366.51,178.82,1.34
SC,7875858.84,68672,114.69,2013,45,4764080,South Carolina,16531.75,144.15,0.24
SD,1227846.46,6310,194.59,2013,46,842316,South Dakota,14577.03,74.91,2.31
TN,21011332.89,100886,208.27,2013,47,6494340,Tennessee,32353.3,155.34,0.32
TX,73295465.68,345956,211.86,2013,48,26480266,Texas,27679.28,130.65,0.08
UT,10513099.45,28633,367.17,2013,49,2897640,Utah,36281.59,98.81,1.27
VA,15705403.71,99448,157.93,2013,50,8252427,Virginia,19031.25,120.51,0.19
VT,1198992.68,963,1245.06,2013,52,626210,Vermont,19146.81,15.38,19.88
WA,15930994.34,53555,297.47,2013,53,6963985,Washington,22876.26,76.9,0.43
WI,6981599.95,35218,198.24,2013,54,5736754,Wisconsin,12169.95,61.39,0.35
WV,3001690.46,29975,100.14,2013,55,1853914,West Virginia,16191.1,161.68,0.54
WY,292163.55,2417,120.88,2013,56,582122,Wyoming,5018.94,41.52,2.08
AK,787942.71,9544,82.56,2014,1,736283,Alaska,10701.63,129.62,1.12
AL,20842724.6,212423,98.12,2014,2,4841799,Alabama,43047.48,438.73,0.2
AR,8272958.65,106445,77.72,2014,3,2967392,Arkansas,27879.56,358.72,0.26
AZ,82417345.28,232045,355.18,2014,5,6730413,Arizona,122455.11,344.77,0.53
CA,603829045.85,1153710,523.38,2014,6,38596972,California,156444.67,298.91,0.14
CO,61931917.13,131022,472.68,2014,7,5350101,Colorado,115758.41,244.9,0.88
CT,28995627.3,193021,150.22,2014,9,3594524,Connecticut,80666.11,536.99,0.42
DC,15917345.49,41081,387.46,2014,10,662328,District of Columbia,240324.21,620.25,5.85
DE,3774147.16,39390,95.81,2014,11,932487,Delaware,40473.99,422.42,1.03
FL,140984542.06,835966,168.65,2014,12,19845911,Florida,71039.59,421.23,0.08
GA,81817932.3,341728,239.42,2014,13,10067278,Georgia,81271.16,339.44,0.24
HI,4459751.61,44843,99.45,2014,15,1414538,Hawaii,31527.97,317.02,0.7
IA,13469944.77,65124,206.84,2014,16,3109350,Iowa,43320.77,209.45,0.67
ID,5535496.1,36593,151.27,2014,17,1631112,Idaho,33936.95,224.34,0.93
IL,83147459.37,461134,180.31,2014,18,12884493,Illinois,64532.97,357.9,0.14
IN,37356702.83,275683,135.51,2014,19,6593644,Indiana,56655.63,418.1,0.21
KS,10877117.58,101265,107.41,2014,20,2900475,Kansas,37501.16,349.13,0.37
KY,23384007.74,197296,118.52,2014,21,4414349,Kentucky,52972.72,446.94,0.27
LA,19644939.93,209138,93.93,2014,22,4644013,Louisiana,42301.65,450.34,0.2
MA,134268243.5,180858,742.4,2014,23,6762596,Massachusetts,198545.42,267.44,1.1
MD,46155316.69,234598,196.74,2014,24,5957283,Maryland,77477.13,393.8,0.33
ME,4718975.66,25364,186.05,2014,25,1330513,Maine,35467.34,190.63,1.4
MI,58282970.32,380551,153.15,2014,26,9929848,Michigan,58694.73,383.24,0.15
MN,36751965.47,45982,799.27,2014,27,5451079,Minnesota,67421.45,84.35,1.47
MO,59031254.11,250829,235.34,2014,28,6056202,Missouri,97472.4,414.17,0.39
MS,11004918.96,115476,95.3,2014,29,2990468,Mississippi,36799.99,386.15,0.32
MT,5571809.3,15943,349.48,2014,30,1021869,Montana,54525.67,156.02,3.42
NC,69974618.28,356535,196.26,2014,31,9932887,North Carolina,70447.41,358.94,0.2
ND,1791492.1,16160,110.86,2014,32,737401,North Dakota,24294.68,219.15,1.5
NE,8868412.44,63552,139.55,2014,33,1879321,Nebraska,47189.45,338.16,0.74
NH,6263446.95,23987,261.12,2014,34,1333341,New Hampshire,46975.58,179.9,1.96
NJ,56038679.6,458582,122.2,2014,35,8864525,New Jersey,63216.79,517.32,0.14
NM,4401868.75,37587,117.11,2014,36,2089568,New Mexico,21065.93,179.88,0.56
NV,18365892.88,90898,202.05,2014,37,2817628,Nevada,65182.11,322.6,0.72
NY,222597436.97,829291,268.42,2014,38,19651049,New York,113275.09,422.01,0.14
OH,90783370.06,496334,182.91,2014,39,11602700,Ohio,78243.31,427.77,0.16
OK,18567744.2,141066,131.62,2014,40,3878187,Oklahoma,47877.38,363.74,0.34
OR,17061445.0,68258,249.96,2014,41,3963244,Oregon,43049.19,172.23,0.63
PA,109259893.43,587654,185.93,2014,42,12788313,Pennsylvania,85437.3,459.52,0.15
RI,6978857.76,46260,150.86,2014,44,1055936,Rhode Island,66091.67,438.09,1.43
SC,20356426.98,194080,104.89,2014,45,4823617,South Carolina,42201.58,402.35,0.22
SD,3273237.15,17687,185.06,2014,46,849129,South Dakota,38548.17,208.3,2.18
TN,90740836.39,279669,324.46,2014,47,6541223,Tennessee,138721.51,427.55,0.5
TX,183996346.01,938641,196.02,2014,48,26964333,Texas,68236.94,348.1,0.07
