Manufacturer,Payment_Sum,Payment_Count,Payment_Mean,Year
.decimal,1254.33,1,1254.33,2013
"180 Medical, Inc.",5477.1,322,17.01,2013
3M Company,499102.59,3117,160.12,2013
"4WEB, Inc.",4799.81,24,199.99,2013
"A-dec, Inc.",4369394.35,3216,1358.64,2013
ABB Con-Cise Optical Group LLC,58607.98,1188,49.33,2013
ABEON MEDICAL CORPORATION,915.85,1,915.85,2013
ABIOMED,245572.77,1009,243.38,2013
"ABL Medical, LLC",31580.78,36,877.24,2013
ACCURAY INCORPORATED,247.07,3,82.36,2013
"ACE Surgical Supply Co., Inc.",16848.47,88,191.46,2013
ACUMED LLC,1315278.83,873,1506.62,2013
"ACell, Inc.",902538.15,3199,282.13,2013
"AKRIMAX PHARMACEUTICALS, LLC",103302.11,1468,70.37,2013
"ALERE HOME MONITORING, INC.",80342.2,4,20085.55,2013
"ALK-Abello, Inc",1369.65,26,52.68,2013
"AMAG Pharmaceuticals, Inc.",208862.96,1105,189.02,2013
AMD Lasers LLC,31999.57,54,592.58,2013
AMERICAN MEDICAL TECHNOLOGY INC,1133.62,3,377.87,2013
APO-PHARMA INC.,85365.99,52,1641.65,2013
"APO-PHARMA USA, INC.",95.3,6,15.88,2013
APOLLO ENDOSURGERY INC,125933.23,501,251.36,2013
APPLIED MEDICAL TECHNOLOGY INC,681.69,6,113.62,2013
"ARGON MEDICAL DEVICES, INC.",23351.32,412,56.68,2013
"ARIAD Pharmaceuticals, Inc.",429650.0,1403,306.24,2013
"ARKRAY USA, Inc.",4531.99,3,1510.66,2013
"ASAHI INTECC CO., LTD.",11166.52,5,2233.3,2013
"ASAHI INTECC USA, INC.",66043.91,75,880.59,2013
"ASCEND Therapeutics US, LLC",46841.57,3152,14.86,2013
"ASD Specialty Healthcare, Inc.",908.72,12,75.73,2013
"AVID RADIOPHARMACEUTICALS, INC.",191956.12,150,1279.71,2013
AXOGEN,245868.35,779,315.62,2013
Aaren Scientific Inc.,782.19,2,391.1,2013
"AbbVie, Inc.",14176737.69,108282,130.92,2013
Abbott Laboratories,4809883.17,16935,284.02,2013
"Abraxis BioScience, LLC",21588.5,28,771.02,2013
"Accel SPINE, LLC",17961.42,20,898.07,2013
Accellent Inc.,32426.24,1,32426.24,2013
"Access Closure, Inc",22923.71,464,49.4,2013
"Acclarent, Inc",540993.58,4709,114.89,2013
Accuray Incorporated,77461.14,128,605.17,2013
"Acorda Therapeutics, Inc",819908.33,2003,409.34,2013
Actavis Pharma Inc,1143442.07,15233,75.06,2013
"Actelion Clinical Research, Inc.",28288.02,12,2357.34,2013
"Actelion Pharmaceuticals US, Inc.",1226673.21,8962,136.87,2013
"Actelion Pharmaceuticals, Ltd",257008.17,163,1576.74,2013
"Active Medical, LLC",1302.18,8,162.77,2013
"Acute Innovations, LLC",7028.73,10,702.87,2013
AdvanDx Inc.,185.05,3,61.68,2013
"Advanced Bionics, LLC",274947.52,66,4165.87,2013
Advanced Circulatory Systems Inc.,3422.15,24,142.59,2013
"Advanced Critical Devices, Inc.",814.29,20,40.71,2013
Advanced Medical Partners Inc,2784.12,76,36.63,2013
"Advanced Orthopaedic Solutions, Inc.",83911.65,28,2996.84,2013
"Advanced Respiratory, Inc",42640.66,1023,41.68,2013
"Aegerion Pharmaceuticals, Inc.",437463.52,1893,231.1,2013
Aero-Med LTD,11800.0,2,5900.0,2013
"Aerocrine, Inc",118853.18,761,156.18,2013
Aesculap AG,318711.43,35,9106.04,2013
Aesculap Akademie GmbH,13446.11,14,960.44,2013
"Aesculap Biologics, LLC",17242.67,29,594.57,2013
"Aesculap Implant Systems, LLC",711656.35,552,1289.23,2013
"Aesculap, Inc.",89740.34,482,186.18,2013
"Afaxys, Inc.",6235.56,16,389.72,2013
"Affordable Pharmaceuticals, LLC",159262.58,4,39815.65,2013
Agfa HealthCare Corporation,875182.65,152,5757.78,2013
Akorn Inc.,504.88,21,24.04,2013
Alcon Laboratories Inc,9717884.51,56785,171.13,2013
Alcon Pharmaceuticals Ltd,381320.36,4,95330.09,2013
Alcon Puerto Rico Inc,10735.33,47,228.41,2013
Alcon Research Ltd,1430680.33,952,1502.82,2013
"Alere Informatics, Inc.",39080.02,10,3908.0,2013
"Alere North America, LLC",3987.48,71,56.16,2013
"Alere San Diego, Inc.",112420.58,13,8647.74,2013
"Alexion Pharmaceuticals, Inc.",1526604.4,6461,236.28,2013
"Alexza Pharmaceuticals, Inc.",840.0,2,420.0,2013
Algeta US LLC,197011.23,1294,152.25,2013
"Alk-Abello, Inc",33691.65,101,333.58,2013
"Alkermes, Inc.",362680.02,2745,132.12,2013
Allerderm  Laboratories,9863.31,9,1095.92,2013
Allergan Inc.,24188537.54,109830,220.24,2013
Alliance Partners LLC,59750.0,12,4979.17,2013
"Alliqua  BioMedical, Inc.",1169.12,24,48.71,2013
AlloSource,687.08,35,19.63,2013
Alpha Orthopedic Systems,9167.94,111,82.59,2013
"Alphatec Spine, Inc",859137.02,267,3217.74,2013
"Alpine Implant Alliance, LLC",70000.0,7,10000.0,2013
"Alpine Surgical Technologies, LLC",3975.02,1,3975.02,2013
Altatec GmbH,227885.66,357,638.34,2013
Altus Partners. LLC,18650.0,4,4662.5,2013
Amarin Pharma Inc.,1609778.52,8992,179.02,2013
Amedica Corporation,338159.08,93,3636.12,2013
"Amendia, Inc.",382248.73,209,1828.94,2013
"American Medical Hospital Supply Company, Inc.",4115.54,34,121.05,2013
American Medical Systems Inc.,1294138.8,5588,231.59,2013
American Orthodontics Corporation,36469.7,95,383.89,2013
AmerisourceBergen Drug Corporation,3088.22,5,617.64,2013
Amgen Inc.,9483638.42,69596,136.27,2013
Amneal Pharmaceuticals LLC,199509.02,5,39901.8,2013
"Amnio Technology, LLC",89300.0,9,9922.22,2013
Amniox Medical,217126.58,551,394.06,2013
Analogic Corporation,1618.89,34,47.61,2013
"AngioDynamics, Inc.",743966.37,1382,538.33,2013
"AngioScore, Inc.",171314.47,1594,107.47,2013
"Anika Therapeutics, Inc.",12786.96,13,983.61,2013
Animas Corporation,82655.43,1975,41.85,2013
"Apollo Surgical Group, LLC",30260.07,119,254.29,2013
"Applied Medical Australia, Pty, Ltd.",3149.35,1,3149.35,2013
Applied Medical Europe BV,9043.92,7,1291.99,2013
Applied Medical Resources Corporation,160839.97,252,638.25,2013
Applied Medical Technology Inc,7094.67,28,253.38,2013
"Aptalis Pharma US, Inc",754550.65,12717,59.33,2013
"Aptis Medical, LLC",2882.23,3,960.74,2013
"Aptus Endosystems, Inc.",38128.79,386,98.78,2013
Aqua Pharmaceuticals,684764.63,16688,41.03,2013
"Aquesys, Inc.",106170.29,11,9651.84,2013
"Arbor Pharmaceuticals, Inc.",167914.72,3645,46.07,2013
Aribex Inc.,4015.0,2,2007.5,2013
"Ariosa Diagnostics, Inc.",6192.97,78,79.4,2013
Arizona Cryosurgical Partnership LP,66463.32,75,886.18,2013
"Arjohuntleigh, Inc.",4478.55,64,69.98,2013
"Arrow International, Inc.",316733.2,110,2879.39,2013
"Arrow Interventional, Inc.",850.0,1,850.0,2013
Art Optical Contact Lens Inc.,11529.37,34,339.1,2013
"Arteriocyte Medical Systems, Inc.",45508.69,22,2068.58,2013
"Arthrex, Inc.",19094361.43,4948,3859.01,2013
ArthroCare Corporation,418620.38,1043,401.36,2013
Arthrosurface Incorporated,117639.51,491,239.59,2013
"AsahiKasei Medical Co.,Ltd.",4500.0,1,4500.0,2013
"Ascension Orthopedics, Inc.",112695.75,287,392.67,2013
"Aseptico, Inc.",8750.0,1,8750.0,2013
Astellas Pharma Europe BV,50783.47,123,412.87,2013
Astellas Pharma Global Development,409616.08,118,3471.32,2013
Astellas Pharma Inc,113043.59,43,2628.92,2013
Astellas Pharma US Inc,3517988.79,66785,52.68,2013
