Zip,Payment_Sum,Payment_Count,Payment_Mean,Year
00001,39843.22,138,288.72,2013
00002,6956.84,69,100.82,2013
00003,37874.8,115,329.35,2013
00004,8080.15,79,102.28,2013
00005,2132.02,16,133.25,2013
00006,9032.47,34,265.66,2013
00007,7399.77,114,64.91,2013
00008,2006.16,41,48.93,2013
00009,26472.8,129,205.22,2013
00018,218.89,8,27.36,2013
00023,45.24,2,22.62,2013
00030,13.99,1,13.99,2013
00033,15.19,1,15.19,2013
00060,38.16,1,38.16,2013
00061,11.76,1,11.76,2013
00080,115.08,3,38.36,2013
00102,16.69,1,16.69,2013
00165,29.58,1,29.58,2013
00195,17.85,1,17.85,2013
00211,126.15,1,126.15,2013
00290,10.24,1,10.24,2013
00381,27.36,2,13.68,2013
00382,24.19,1,24.19,2013
00404,240.0,1,240.0,2013
00424,18.21,1,18.21,2013
00515,19994.84,26,769.03,2013
00601,2298.53,50,45.97,2013
00602,7801.15,142,54.94,2013
00603,11907.59,302,39.43,2013
00604,831.95,17,48.94,2013
00605,1376.39,42,32.77,2013
00609,15.91,1,15.91,2013
00610,917.0,31,29.58,2013
00611,287.15,6,47.86,2013
00612,58650.03,519,113.01,2013
00613,4092.63,43,95.18,2013
00614,2870.21,40,71.76,2013
00616,564.34,14,40.31,2013
00617,2044.63,77,26.55,2013
00621,93.82,1,93.82,2013
00622,127.93,3,42.64,2013
00623,6734.79,147,45.81,2013
00624,1748.48,37,47.26,2013
00625,100.0,1,100.0,2013
00626,205.82,3,68.61,2013
00627,1089.01,28,38.89,2013
00628,140.86,3,46.95,2013
00631,339.65,4,84.91,2013
00634,12.55,1,12.55,2013
00636,19.23,1,19.23,2013
00637,5432.16,67,81.08,2013
00638,1491.44,31,48.11,2013
00641,1248.94,25,49.96,2013
00646,11229.77,112,100.27,2013
00647,341.18,4,85.3,2013
00648,13.86,1,13.86,2013
00650,235.39,6,39.23,2013
00652,141.82,5,28.36,2013
00653,1146.94,18,63.72,2013
00656,1162.63,26,44.72,2013
00659,4736.99,93,50.94,2013
00660,2538.02,50,50.76,2013
00662,3230.39,72,44.87,2013
00664,380.06,6,63.34,2013
00667,2802.59,62,45.2,2013
00668,672.34,17,39.55,2013
00669,1426.15,28,50.93,2013
00670,306.61,6,51.1,2013
00674,132285.43,737,179.49,2013
00676,3417.72,64,53.4,2013
00677,589.44,18,32.75,2013
00678,1525.21,34,44.86,2013
00680,107064.47,895,119.63,2013
00681,21919.92,147,149.12,2013
00682,30776.08,265,116.14,2013
00683,18293.69,231,79.19,2013
00685,5505.32,112,49.15,2013
00687,1217.82,31,39.28,2013
00688,239.38,6,39.9,2013
00689,237.59,1,237.59,2013
00690,443.16,7,63.31,2013
00692,3060.43,83,36.87,2013
00693,4493.96,97,46.33,2013
00694,201.16,9,22.35,2013
00698,4788.82,107,44.76,2013
00701,19.44,1,19.44,2013
00703,3366.02,45,74.8,2013
00704,170.52,3,56.84,2013
00705,26827.66,166,161.61,2013
00707,348.27,5,69.65,2013
00713,264.8,3,88.27,2013
00714,1075.45,27,39.83,2013
00715,5120.29,20,256.01,2013
00716,102443.81,778,131.68,2013
00717,165452.69,802,206.3,2013
00718,2491.88,19,131.15,2013
00719,1807.26,32,56.48,2013
00720,1403.5,28,50.12,2013
00721,300.22,4,75.06,2013
00723,605.11,15,40.34,2013
00725,174475.23,1339,130.3,2013
00726,34981.58,301,116.22,2013
00727,5301.22,117,45.31,2013
00728,2324.66,51,45.58,2013
00729,4358.04,97,44.93,2013
00730,6728.33,92,73.13,2013
00731,7676.59,122,62.92,2013
00732,5589.66,61,91.63,2013
00733,23746.02,64,371.03,2013
00734,14.25,1,14.25,2013
00735,1602.95,29,55.27,2013
00736,43385.36,234,185.41,2013
00737,14412.1,34,423.89,2013
00738,23383.95,339,68.98,2013
00739,7363.51,63,116.88,2013
00740,91.59,1,91.59,2013
00741,101.75,2,50.88,2013
00745,5271.51,115,45.84,2013
00747,16.1,1,16.1,2013
00751,1248.33,32,39.01,2013
00754,20370.55,91,223.85,2013
00757,3162.22,57,55.48,2013
00763,140.36,4,35.09,2013
00765,112.43,2,56.22,2013
00766,3109.47,65,47.84,2013
00767,16815.11,55,305.73,2013
00769,5251.66,52,100.99,2013
00771,27647.72,125,221.18,2013
00772,3600.61,19,189.51,2013
00773,1191.31,22,54.15,2013
00775,100.0,1,100.0,2013
00777,4720.86,73,64.67,2013
00778,24293.03,158,153.75,2013
00780,39494.49,192,205.7,2013
00782,299.83,10,29.98,2013
00783,7235.99,150,48.24,2013
00784,10906.66,136,80.2,2013
00785,2299.59,49,46.93,2013
00786,92.31,1,92.31,2013
00791,59554.84,421,141.46,2013
00792,4640.41,37,125.42,2013
00794,1274.9,25,51.0,2013
00795,3535.1,75,47.13,2013
00797,55.24,3,18.41,2013
00802,1284.55,24,53.52,2013
00807,794.7,5,158.94,2013
00820,646.81,11,58.8,2013
00823,15.82,1,15.82,2013
00853,14.25,1,14.25,2013
00901,74448.1,141,528.0,2013
00902,537.14,9,59.68,2013
00906,191.91,2,95.96,2013
00907,175505.96,741,236.85,2013
00908,543.44,10,54.34,2013
00909,161320.06,859,187.8,2013
00910,28434.59,179,158.85,2013
00911,2255.31,57,39.57,2013
00912,29540.33,101,292.48,2013
00913,694.47,21,33.07,2013
00914,568.25,4,142.06,2013
00915,3232.01,29,111.45,2013
00916,474.82,13,36.52,2013
00917,101522.65,1223,83.01,2013
00918,207076.42,1684,122.97,2013
00919,22292.31,236,94.46,2013
00920,4525.4,99,45.71,2013
00921,115827.13,1137,101.87,2013
00922,18189.15,197,92.33,2013
00923,54614.27,369,148.01,2013
00924,52058.98,252,206.58,2013
00925,15080.4,162,93.09,2013
00926,183013.82,1362,134.37,2013
00927,42629.57,351,121.45,2013
00928,4924.24,59,83.46,2013
00929,3197.18,42,76.12,2013
00931,10.7,1,10.7,2013
00933,113.05,2,56.52,2013
00935,29422.3,269,109.38,2013
00936,185004.94,837,221.03,2013
00937,477.23,13,36.71,2013
00938,85.99,1,85.99,2013
00939,16.54,1,16.54,2013
00940,353.92,3,117.97,2013
00949,15568.23,224,69.5,2013
00950,447.38,12,37.28,2013
00951,29070.92,10,2907.09,2013
00952,63.84,4,15.96,2013
00953,14900.56,110,135.46,2013
00954,901.87,15,60.12,2013
00956,42461.32,391,108.6,2013
00957,2969.27,57,52.09,2013
00958,726.81,10,72.68,2013
00959,108169.22,706,153.21,2013
00960,18106.87,263,68.85,2013
00961,133207.87,1244,107.08,2013
00962,11545.05,47,245.64,2013
00963,526.19,13,40.48,2013
00965,356.58,6,59.43,2013
00966,30957.37,238,130.07,2013
00967,48.39,3,16.13,2013
00968,43056.63,220,195.71,2013
00969,119726.13,559,214.18,2013
00970,1609.21,44,36.57,2013
00971,2322.95,51,45.55,2013
00972,65.54,1,65.54,2013
00973,234.32,5,46.86,2013
00974,1762.33,12,146.86,2013
00976,10407.21,146,71.28,2013
00977,253.19,10,25.32,2013
00978,615.88,16,38.49,2013
00979,4337.68,88,49.29,2013
00981,15.57,1,15.57,2013
00982,8332.07,76,109.63,2013
00983,15645.65,266,58.82,2013
00984,8217.95,86,95.56,2013
00985,12111.12,185,65.47,2013
00986,5538.37,38,145.75,2013
00987,5652.54,112,50.47,2013
00988,3720.33,34,109.42,2013
01001,3181.04,148,21.49,2013
01002,4419.61,139,31.8,2013
01003,3068.71,50,61.37,2013
01005,73.79,3,24.6,2013
01007,2440.65,70,34.87,2013
01008,99.0,1,99.0,2013
01010,181.19,9,20.13,2013
01013,181.17,7,25.88,2013
01020,8742.36,181,48.3,2013
01028,4835.27,136,35.55,2013
01030,1362.11,73,18.66,2013
01032,5050.0,2,2525.0,2013
01035,526.38,21,25.07,2013
01040,24346.06,602,40.44,2013
01041,12.65,1,12.65,2013
01050,109.37,2,54.68,2013
01053,410.46,10,41.05,2013
01056,3029.28,159,19.05,2013
01057,11.76,1,11.76,2013
01060,30841.13,294,104.9,2013
01061,44.78,3,14.93,2013
01062,2114.32,79,26.76,2013
01069,41366.9,169,244.77,2013
01073,144.83,6,24.14,2013
01075,8248.54,21,392.79,2013
01077,7718.97,111,69.54,2013
01082,644.79,41,15.73,2013
01085,26424.8,224,117.97,2013
01086,103.71,2,51.86,2013
01088,3943.03,31,127.19,2013
01089,6221.81,167,37.26,2013
01090,25.0,1,25.0,2013
01093,28.9,2,14.45,2013
01095,978.75,19,51.51,2013
01096,16.47,1,16.47,2013
01101,14.25,1,14.25,2013
01102,192.11,3,64.04,2013
01103,10182.75,159,64.04,2013
01104,111745.0,1346,83.02,2013
01105,46761.1,102,458.44,2013
01106,10935.14,76,143.88,2013
01107,492979.17,946,521.12,2013
01108,1550.97,31,50.03,2013
01109,552.19,18,30.68,2013
01118,7494.7,124,60.44,2013
01128,21.59,1,21.59,2013
01129,1395.27,13,107.33,2013
01151,1647.47,106,15.54,2013
01157,125.0,1,125.0,2013
01199,257502.89,584,440.93,2013
01201,32145.95,808,39.78,2013
01202,93.59,6,15.6,2013
01225,24.29,2,12.14,2013
01226,411.4,32,12.86,2013
01230,2250.21,35,64.29,2013
01237,153.39,4,38.35,2013
01238,372.04,30,12.4,2013
01240,1069.4,31,34.5,2013
01247,1809.11,42,43.07,2013
01254,10.3,1,10.3,2013
01257,14.25,1,14.25,2013
01267,77.0,4,19.25,2013
01293,106.52,1,106.52,2013
01301,8235.71,172,47.88,2013
01309,23.31,2,11.66,2013
01331,17996.08,297,60.59,2013
01337,10.0,1,10.0,2013
01341,13.49,1,13.49,2013
01345,8.01,1,8.01,2013
01351,235.94,9,26.22,2013
01364,5390.55,67,80.46,2013
01370,61.62,3,20.54,2013
01373,644.58,42,15.35,2013
01376,1222.9,79,15.48,2013
01420,5459.48,92,59.34,2013
01430,52.31,1,52.31,2013
01431,151.27,10,15.13,2013
01432,12466.09,177,70.43,2013
01434,627.44,4,156.86,2013
01440,81818.02,376,217.6,2013
01450,166482.81,239,696.58,2013
01451,24190.11,153,158.11,2013
01453,10939.7,222,49.28,2013
01460,151.9,6,25.32,2013
01462,195.52,6,32.59,2013
01463,62.15,1,62.15,2013
01464,14.25,1,14.25,2013
01467,17693.02,3,5897.67,2013
01468,517.03,29,17.83,2013
01469,13.52,2,6.76,2013
01473,9144.74,19,481.3,2013
01475,115.59,8,14.45,2013
01501,10590.72,263,40.27,2013
01503,14.25,1,14.25,2013
01504,13.87,1,13.87,2013
01505,191.88,6,31.98,2013
01507,1965.2,114,17.24,2013
01509,21.31,1,21.31,2013
01510,2639.41,20,131.97,2013
01516,135.12,2,67.56,2013
01518,25.65,2,12.82,2013
01519,3724.63,10,372.46,2013
01520,2724.49,81,33.64,2013
01522,58.38,3,19.46,2013
01523,2207.78,116,19.03,2013
01524,1164.77,7,166.4,2013
01527,166.12,5,33.22,2013
01530,52.9,2,26.45,2013
01532,7290.92,158,46.15,2013
01536,249.74,5,49.95,2013
01537,140.83,2,70.41,2013
01543,18.71,1,18.71,2013
01545,33042.49,154,214.56,2013
01546,40.0,2,20.0,2013
01550,5481.56,108,50.76,2013
01561,63.42,4,15.85,2013
01562,3632.38,19,191.18,2013
01564,317.03,13,24.39,2013
01566,1678.08,57,29.44,2013
01568,343.73,10,34.37,2013
01569,20.32,1,20.32,2013
01570,2678.96,153,17.51,2013
01571,92.22,2,46.11,2013
01581,5047.53,67,75.34,2013
01583,1847.31,16,115.46,2013
01585,28.5,2,14.25,2013
01588,357.64,6,59.61,2013
01590,1764.22,7,252.03,2013
01602,1622.69,45,36.06,2013
01603,343.75,2,171.88,2013
01604,14117.74,410,34.43,2013
01605,199017.05,1856,107.23,2013
01606,508.76,16,31.8,2013
01607,177.28,3,59.09,2013
01608,102269.87,1896,53.94,2013
01609,27687.08,146,189.64,2013
01610,6392.35,53,120.61,2013
01612,353.01,4,88.25,2013
01613,237.65,10,23.76,2013
01615,2942.04,14,210.15,2013
01655,1169645.75,1161,1007.45,2013
01701,6733.6,188,35.82,2013
01702,40068.67,689,58.15,2013
01718,138.36,2,69.18,2013
01720,22803.34,167,136.55,2013
01721,826.93,11,75.18,2013
01730,1097.35,28,39.19,2013
01731,153.21,9,17.02,2013
01740,784.75,4,196.19,2013
01741,85.01,4,21.25,2013
01742,65889.73,497,132.57,2013
01746,1055.97,16,66.0,2013
01747,971.89,65,14.95,2013
01748,1406.12,17,82.71,2013
01749,1699.68,19,89.46,2013
01752,37644.87,230,163.67,2013
01754,22.8,1,22.8,2013
01756,1465.97,90,16.29,2013
01757,19325.22,337,57.34,2013
01760,52229.71,365,143.1,2013
01770,5022.03,18,279.0,2013
01772,47139.61,69,683.18,2013
01773,745.97,10,74.6,2013
01775,947.84,3,315.95,2013
01776,1730.08,35,49.43,2013
01778,2920.28,49,59.6,2013
01801,40566.13,408,99.43,2013
01803,15636.16,135,115.82,2013
01805,319195.51,742,430.18,2013
01810,18598.78,148,125.67,2013
01815,27.76,1,27.76,2013
01821,297.95,11,27.09,2013
01824,27672.83,375,73.79,2013
01826,1429.34,60,23.82,2013
01830,68779.71,493,139.51,2013
01832,2186.58,8,273.32,2013
01833,145.91,2,72.96,2013
01835,4606.99,19,242.47,2013
01840,7727.81,64,120.75,2013
01841,15620.09,258,60.54,2013
01842,96.52,2,48.26,2013
01843,6009.96,318,18.9,2013
01844,12076.58,312,38.71,2013
01845,70541.66,493,143.09,2013
01850,234.12,8,29.26,2013
01851,3281.42,31,105.85,2013
01852,30549.21,283,107.95,2013
01854,11666.47,316,36.92,2013
01860,104.82,4,26.2,2013
01862,26957.77,75,359.44,2013
01863,60616.59,313,193.66,2013
01864,2216.23,65,34.1,2013
01867,20221.61,244,82.88,2013
01876,4804.49,203,23.67,2013
01879,21.95,1,21.95,2013
01880,3267.88,117,27.93,2013
01881,117.01,1,117.01,2013
01886,5941.08,48,123.77,2013
01887,3417.57,84,40.69,2013
01890,441148.43,256,1723.24,2013
01901,10720.33,108,99.26,2013
01902,471.26,6,78.54,2013
01904,2362.47,95,24.87,2013
01905,30.76,2,15.38,2013
01906,1757.64,46,38.21,2013
01907,20888.84,76,274.85,2013
01910,118.04,2,59.02,2013
01913,726.14,22,33.01,2013
01915,42607.77,412,103.42,2013
01921,298.83,5,59.77,2013
01923,54563.12,137,398.27,2013
01929,23.95,2,11.98,2013
01930,1735.69,78,22.25,2013
01935,8696.16,1,8696.16,2013
01936,114.16,7,16.31,2013
01938,161.34,6,26.89,2013
01940,21513.9,23,935.39,2013
01944,1018.36,29,35.12,2013
01945,46445.4,46,1009.68,2013
01948,416.01,11,37.82,2013
01949,1335.62,27,49.47,2013
01950,57772.05,570,101.35,2013
01951,368.78,7,52.68,2013
01952,1102.41,69,15.98,2013
01960,218269.24,853,255.88,2013
01966,137.17,10,13.72,2013
01970,37171.5,316,117.63,2013
01981,111.96,3,37.32,2013
01982,1237.07,70,17.67,2013
01983,14.31,1,14.31,2013
01984,24.24,1,24.24,2013
01985,175.18,24,7.3,2013
01990,60.0,1,60.0,2013
02001,74.7,1,74.7,2013
02011,100.55,5,20.11,2013
02019,1411.02,78,18.09,2013
02021,356.42,17,20.97,2013
02025,4790.22,33,145.16,2013
02026,60410.01,231,261.52,2013
02030,18914.19,7,2702.03,2013
02032,4071.77,15,271.45,2013
02035,43448.34,117,371.35,2013
02038,1508.64,54,27.94,2013
02040,141.65,3,47.22,2013
02043,125299.69,183,684.7,2013
02045,14.51,2,7.26,2013
02048,9694.66,118,82.16,2013
02050,15769.59,38,414.99,2013
02052,135479.91,68,1992.35,2013
02053,1303.93,63,20.7,2013
02054,637.64,3,212.55,2013
02056,84.76,6,14.13,2013
02059,10.17,1,10.17,2013
02061,1934.2,65,29.76,2013
02062,64425.59,463,139.15,2013
02066,11576.06,162,71.46,2013
02067,3621.1,40,90.53,2013
02072,5795.88,111,52.22,2013
02078,84.12,5,16.82,2013
02081,22083.38,88,250.95,2013
02090,16824.78,68,247.42,2013
02093,270.48,10,27.05,2013
02108,46524.53,46,1011.4,2013
02109,5134.38,44,116.69,2013
02110,6421.64,32,200.68,2013
02111,1672561.11,2306,725.31,2013
02113,108.89,7,15.56,2013
02114,16857804.99,3800,4436.26,2013
02115,11334590.56,3620,3131.1,2013
02116,492583.74,313,1573.75,2013
02118,1462074.08,1656,882.89,2013
02119,594.86,27,22.03,2013
02120,4553578.47,655,6952.03,2013
02121,194.24,5,38.85,2013
02122,487724.79,20,24386.24,2013
02124,15550.51,318,48.9,2013
02125,337.94,17,19.88,2013
02126,922.11,56,16.47,2013
02127,2613.79,54,48.4,2013
02128,6928.5,30,230.95,2013
02129,105907.77,158,670.3,2013
02130,71699.5,261,274.71,2013
02131,9282.94,114,81.43,2013
02132,35425.09,142,249.47,2013
